cip13,lib_cip13,remboursement_total,rang,remboursement_cumule,part_cumulee
3400922159577,"RAMIPRIL/HCTZ ARW 5/12,5 MG CPR 90",419263.05,4097,23583076679.45,96.49346703401143
3400933666354,KLEAN PREP PDR ORALE SACHET 4,419244.58,4098,23583495924.03,96.4951824320322
3400937803526,NICORANDIL ZEN 10MG CPR 30,418906.56,4099,23583914830.59,96.4968964469967
3400935998712,PAROXETINE VIATRIS 20MG CPR 14,418736.83999999997,4100,23584333567.43,96.49860976752802
3400927643514,VOTUBIA 2 MG CPR DISP 30,418254.81,4101,23584751822.24,96.50032111576596
3400937694681,AMLODIPINE ZEN 5MG GELULE 30,418203.23,4102,23585170025.47,96.5020322529571
3400935646026,CALCIUM VIT D3 BGA 500MG/400UI CPR 60,417858.60000000003,4103,23585587884.07,96.50374198004621
3400937832212,DIACOMIT 250MG GELULE 60,417796.12,4104,23586005680.19,96.50545145148966
3400921911978,TELMISARTAN VIATRIS 40MG CPR 30,417482.38,4105,23586423162.57,96.50715963922188
3400939340456,PAROXETINE CRT 20MG CPR 14,417439.93,4106,23586840602.5,96.50886765326398
3400936892033,NIFEDIPINE VTS LP 30MG CPR 30,417422.67,4107,23587258025.170002,96.51057559668436
3400927626425,MODAFINIL ARW 100MG CPR 30,417340.71,4108,23587675365.88,96.512283204753885
3400927369179,SETOFILM 4MG FILM DISP 4,417275.11,4109,23588092640.99,96.51399054441183
3400930097465,EZETIMIBE/SIMVAST SDZ 10MG/20MG CPR 90,416743.64,4110,23588509384.63,96.51569570948568
3400936523418,PREDNISONE ARW 20MG CPR 20,416633.89,4111,23588926018.52,96.51740042550202
3400949003051,KAYEXALATE 454G PDR ORAL/RECT AIP M 1,416631.92,4112,23589342650.44,96.51910513345781
3400930219232,VEDFA 50MG/1000MG CPR 60,416571.14,4113,23589759221.58,96.52080959272375
3400937461481,SPIRAMYCINE VIATRIS 3MUI CPR 16,416283.12,4114,23590175504.7,96.5225128735154
3400935979841,AMOXICILLINE ARW 1G CPR DISP 14,415777.55,4115,23590591282.25,96.52421408569649
3400936118270,ACTRAPID PENFILL 300UI INJ CART 5,415697.21,4116,23591006979.46,96.52591496915517
3400939681917,SPIRONOLACTONE ARW 25MG CPR 30,415463.83,4117,23591422443.29,96.52761489770685
3400938134650,ONDANSETRON TVC 8MG CPR 4,415133.2,4118,23591837576.49,96.52931347343952
3400927797958,DILTIAZEM VIATRIS LP 200MG GELULE 90,415009.01,4119,23592252585.5,96.53101154103135
3400938201239,BUPRENORPHINE VTS 6MG CPR 7,414965.58,4120,23592667551.08,96.53270943092326
3400930139967,PERINDOPRIL AMLO ZEN 8/5MG CPR 30,414920.67,4121,23593082471.75,96.53440713705959
3400938268355,DICLOFENAC BGA 1% GEL 1,414843.24,4122,23593497314.99,96.53610452638021
3400930097502,EZETIMIBE/SIMVAST SDZ 10MG/40MG CPR 30,414792.02,4123,23593912107.01,96.53780170612701
