cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400933055042,MINIRIN SPRAY 10MICROGR SOL ENDONAS 1,5854.35,349,16.77464183381089
3400936393172,AMISULPRIDE MYL 200MG CPR 60,5857.86,173,33.86046242774566
3400939921082,"VALSARTAN/HCTZ ZTL 80/12,5MG CPR 30",5860.46,1814,3.230683572216097
3400937165266,"RAMIPRIL BGA 2,5MG CPR 30",5864.66,1686,3.4784460260972714
3400927629617,TELMISARTAN ZYD 80MG CPR 30,5913.4,1897,3.1172377438060095
3400921619195,"VALSARTAN/HCTZ CRT 160/12,5MG CPR 30",5925.93,1915,3.0944804177545695
3400926775865,IFIRMASTA 300MG CPR PELL 30,5927.66,1764,3.3603514739229023
3400949500444,ZARZIO 30 MUI SOL INJ SER ABACUS M 5,5961.6,20,298.08000000000004
3400930266212,ATORVASTATINE LABO ALTER 20 MG CPR 90,5968.79,567,10.526966490299824
3400930194843,TOPIRAMATE ARL 200 MG CPR 30,5975.23,576,10.373663194444443
3400949004522,NOZINAN 100 MG CPR PELL (AIP ) 20,5979.07,620,9.64366129032258
3400949000401,"FEMARA 2,5 MG CPR (AIP)(BBA) 30",5986.5999999999995,148,40.449999999999996
3400936038974,"BISOPROLOL HCTZ ARW 2,5/6,25MG CPR 30",6003.35,1772,3.3878950338600453
3400938281651,RISPERIDONE EG 1MG/ML SOL BUV 60ML 1,6010.78,676,8.891686390532543
3400922087337,CEFUROXIME BGR 250 MG CPR 8,6015.62,2130,2.8242347417840374
3400930033265,NORVIR 100MG PDR SUSP BUV 30,6016.31,247,24.357530364372472
3400938281880,RISPERIDONE EG 1MG/ML SOL BUV 120ML 1,6018.46,341,17.649442815249266
3400937759540,RISPERIDONE ZEN 2MG CPR 60,6028.679999999999,386,15.618341968911915
3400930212332,AMLODIPINE/VALSART ACC 5MG/80MG CP 90,6034.76,441,13.684263038548753
3400939279442,IRBESARTAN SUN 300MG CPR PELL 30,6039.41,1863,3.241765968867418
3400930105474,ENTECAVIR ZYD 1 MG CPR 30,6045.820000000001,40,151.14550000000003
3400930201749,ENOXAPARINE ARROW 6000UI SER 2,6053.83,757,7.997133421400264
3400938528152,LOSARTAN ZYD 50MG CPR 90,6061.05,724,8.371616022099447
3400921740233,ATORVASTATINE BGR 10 MG CPR 30,6072.95,1639,3.7052776082977426
3400930167410,SITAGLIPTINE ALTER 50 MG CPR 28,6076.969999999999,726,8.370482093663911
3400927403620,"RAMIPRIL KRKA 1,25MG CPR 90",6084.9,765,7.954117647058823
